"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"ZH","昧良心","昧良心:昧良心","/mei˥˩.liɑŋ˧˥.ɕin˥˥/","May Li An scene","/meɪ/ /li/ /ɑn/ /sin/","Mai lieh eng schien","/maːiː/ /liː/ /ɛŋ/ /ʃiːn/","mer lien gens mine","/me/ /li/ /ʒ/ /min/","目 胃 水 胃 信","/me/ /i/ /mi/ /i/ /ʃiɴ/","魅 量 芯","/mei˥˩/ /liɑŋ˧˥/ /ɕin˥˥/","Ignore one's conscience","May Li An scene","May lent seemed tight","sea link people mine","First stomach water gastric Shin","So you think you can core"
"ZH","多種語言","多種語言:多種語言","/tuo˥˥.tʂuŋ˨˩˦.y˨˩˦.iɛn˧˥/","two tongue ye en","/tu/ /tʌŋ/ /y.i/ /ɛn/","Tuch tun Yen","/tuːx/ /tuːn/ /yː.ən/","tout eau t' houx eau aine","/tu/ /o/ /t/ /u/ /o/ /ɛn/","と 手 運 絵 胃 ニ","/to/ /te/ /uɴ/ /e/ /i/ /ni/","駝 鐘 漁 炎","/tuo˧˥/ /tʂuŋ˥˥/ /y˧˥/ /iɛn˧˥/","Many kinds of language","two tongue ye en","Yen do cloth","any water you Holly water elder","And hand luck painting stomach (d)","Patients with 駝 first sight fisherman's bastion"
"ZH","產量多","產量多:產量多","/tʂan˨˩˦.liɑŋ˥˩.tuo˥˥/","chin Li An two","/tʃɪn/ /li/ /ɑn/ /tu/","Tanz lieh eng Tuch","/tant͡s/ /liː/ /ɛŋ/ /tuːx/","t' Anne lien gens tout eau","/t/ /an/ /li/ /ʒ/ /tu/ /o/","単に 胃 と","/tan.ni/ /i/ /to/","蟾 諒 駝","/tʂan˧˥/ /liɑŋ˥˩/ /tuo˧˥/","Amount of product","chin Li An two","Dance borrowed cloth closely","You Anne link people all water","Just a stomach and","Toad 諒 駝"
"ZH","高富帥","高富帥:高富帥","/kau˥˥.fu˥˩.ʂuai˥˩/","cow fou shoe e","/kaʊ/ /fu/ /ʃu/ /i/","Kuh Schuh Schuh Ei","/kuː/ /ʃuː/ /ʃuː/ /aɪ/","quand houx fou chou eau","/ka/ /u/ /fu/ /ʃu/ /o/","蚊 兎 酢 酢 胃","/ka/ /u/ /su/ /su/ /i/","羔 蝮 帥","/kau˥˥/ /fu˥˩/ /ʂuai˥˩/","Ko Fu 帥","cow fou shoe e","Shoe shoe cow egg","When Holly crazy cabbage water","Mosquito rabbit vinegar vinegar stomach","Lamb deinagkistrodon 帥"
"ZH","信用證","信用證:信用證","/ɕin˥˩.yŋ˥˩.tʂəŋ˥˩/","scene ewe tong","/sin/ /yu/ /tɔŋ/","schien eng Tang","/ʃiːn/ /ɛŋ/ /taŋ/","Chine une traire","/ʃin/ /yn/ /tʁɛʁ/","信 塩 痰","/ʃiɴ/ /eɴ/ /taɴ/","釁 佣 症","/ɕin˥˩/ /yŋ˥˩/ /tʂəŋ˥˩/","Credit securities","scene ewe tong","seemed tight Tang","China one milking","Shin salt phlegm","With a surname helper"
"ZH","自行車架","自行車架:自行車架","/ts˥˩.ɕiŋ˧˥.tʂɤ˥˥.tɕia˥˩/","toss song chew tree","/tɔs/ /sɔŋ/ /tʃu/ /tɹi/","Tisch Fisch Tier Tier","/tiːʃ/ /fiːʃ/ /tiːɐ/ /tiːɐ/","t' cent fille train trier","/t/ /s/ /fij/ /tʁɛ/ /tʁie/","手 信 手 手 胃 彼","/te/ /ʃiɴ/ /te/ /te/ /i/ /a/","自 猩 車 嫁","/ts˥˩/ /ɕiŋ˥˥/ /tʂɤ˥˥/ /tɕia˥˩/","Bicycle rack","toss song chew tree","Table fish pet animal","you one hundred daughter train sort","Shin hands hands hands stomach he","Orangutan he married"
"ZH","鬼怕惡人","鬼怕惡人:鬼怕惡人","/kuei˨˩˦.pa˥˩.ɤ˥˩.ʐən˧˥/","coo e pea oven","/ku/ /i/ /pi/ /ˈʌ.vən/","Kuh Opa Ofen","/kuː/ /oː.paː/ /oː.fən/","cou riz pan eau veine","/ku/ /ʁi/ /pa/ /o/ /vɛn/","区 胃 パ 絵 胃 ニ","/ku/ /i/ /pa/ /e/ /i/ /ni/","龜 爸 鱷 人","/kuei˥˥/ /pa˥˩/ /ɤ˥˩/ /ʐən˧˥/","Ghost e people","coo e pea oven","Cow Grandpa oven","neck rice pan water vein","-Stomach PA picture stomach (d)","Pet Turtles dad, 鱷 people"
"ZH","冰炭不言，冷熱自明","冰炭不言，冷熱自明:冰炭不言，冷熱自明","/piŋ˥˥.tan˥˩.pu˥˩.iɛn˧˥./","ping tan poo e en awe","/pɪŋ/ /tæn/ /pu/ /i/ /ɛn/ /ɔ/","Pier Zahn Kuh Ren f","/piːɐ/ /t͡saːn/ /kuː/ /ʀɛn/ /f/","pire panne pou gène eau","/piʁ/ /pan/ /pu/ /ʒɛn/ /o/","ピン 痰 分 胃 ニ","/piɴ/ /taɴ/ /bu/ /i/ /ni/","餅 蛋 布 炎 椅","/piŋ˨˩˦/ /tan˥˩/ /pu˥˩/ /iɛn˧˥/ /i˨˩˦/","Charcoal speak of ice cold thermal insulation for themselves","ping tan poo e en awe","Pier tooth cow ren f","worst failure pou gene water","PIN phlegm: stomach (d)","Buyan 餅 egg Chair"
"ZH","馬克沁機槍","馬克沁機槍:馬克沁機槍","/ma˨˩˦.kɤ˥˩.tɕin˥˩.tɕi˥˥.tɕiɑŋ˥˥/","ma key teen tree tree An","/mɑ/ /ki/ /tin/ /tɹi/ /tɹi/ /ɑn/","Macke Tisch in Ski Tisch","/ma.kə/ /tiːʃ/ /iːn/ /skiː/ /tiːʃ/","mât continent t' chien triomphe","/ma/ /ko.ˈtin/ /t/ /ʃi/ /tʁiof/","ま 木 手 韻 手 胃 手 胃 胃","/ma/ /ki/ /te/ /iɴ/ /te/ /i/ /te/ /i/ /i/","媽 刻 妗 己 槳","/ma˥˥/ /kɤ˥˩/ /tɕin˥˩/ /tɕi˨˩˦/ /tɕiɑŋ˨˩˦/","Hiram s. Maxim airport Qiang","ma key teen tree tree An","Macke ski table table","continent mat you dog triumph","Or wooden hand rhymes hands stomach hands stomach stomach","媽 wife of one ' s mother ' s brother Jiang"
"ZH","洗衣板","洗衣板:洗衣板","/ɕi˨˩˦.i˥˥.pan˨˩˦/","sea e pan","/si/ /i/ /pæn/","Vieh in Pein","/fiː/ /iːn/ /paɪn/","chien riz panne","/ʃi/ /ʁi/ /pan/","乳 胃 パン","/t͡ɕi/ /i/ /paɴ/","膝 椅 盤","/ɕi˥˥/ /i˨˩˦/ /pan˧˥/","Washboard","sea e pan","Cattle in pain","dog rice failure","Breasts stomach Pan","Knee Chair Pan"
"ZH","里克特","里克特:里克特","/li˨˩˦.kɤ˥˩.tɤ˥˩/","Li key tea","/li/ /ki/ /ti/","lieh Kater","/liː/ /kaː.tɐ/","lien quand teint","/li/ /ka/ /tɛ/","ニ 木 手","/ni/ /ki/ /te/","梨 刻 忑","/li˧˥/ /kɤ˥˩/ /tɤ˥˩/","Richter,","Li key tea","borrowed cat","link when dyed","(D) wooden hand","Carved PEAR am burned"
"ZH","國內戰爭","國內戰爭:國內戰爭","/kuo˧˥.nei˥˩.tʂan˥˩.tʂəŋ˥˥/","coo knee chin tong","/ku/ /ni/ /tʃɪn/ /tɔŋ/","Kur nie Tante","/kuːɐ/ /niː/ /tan.tə/","cou eau néon t' Anne traire","/ku/ /o/ /neo/ /t/ /an/ /tʁɛʁ/","区 を 音 胃 淡々","/ku/ /o/ /ne/ /i/ /tan.taɴ/","國 內 站 城","/kuo˧˥/ /nei˥˩/ /tʂan˥˩/ /tʂəŋ˧˥/","China Civil wars Zheng","coo knee chin tong","Never cure aunt","neck water neon you Anne milking","-Sound stomach calm","Image: inside city"
"ZH","海關官員","海關官員:海關官員","/xai˨˩˦.kuan˥˥.kuan˥˥.yan˧˥/","shy coon coon yam","/ʃaɪ/ /kun/ /kun/ /yæm/","Kai Kuh an Kuh an an","/kaːiː/ /kuː/ /aːn/ /kuː/ /aːn/ /aːn/","Thaï cou Anne cou Anne une","/tai/ /ku/ /an/ /ku/ /an/ /yn/","蚊 胃 区 案 区 兄ちゃん","/ka/ /i/ /ku/ /aɴ/ /ku/ /an.t͡ɕaɴ/","海 館 館 鳶","/xai˨˩˦/ /kuan˨˩˦/ /kuan˨˩˦/ /yan˥˥/","About the sea staff","shy coon coon yam","Kai cow to cow to at","Thai neck Anne neck Anne a","Mosquito stomach Ward Bill Ward brother","Sea Museum Museum 鳶"
"ZH","遺傳率","遺傳率:遺傳率","/i˧˥.tʂuan˧˥.ly˥˩/","e chew inn law","/i/ /tʃu/ /ɪn/ /lɔ/","in Tisch an lieh","/iːn/ /tiːʃ/ /aːn/ /liː/","if trou Anne lait","/if/ /tʁu/ /an/ /lɛ/","胃 手 兎 暗示","/i/ /te/ /u/ /an.d͡ʑi/","椅 塼 濾","/i˨˩˦/ /tʂuan˥˥/ /ly˥˩/","Rate of Heredity","e chew inn law","in table borrowed","If hole Anne milk","Stomach hand rabbit suggestion","Chair Tuan 濾"
"ZH","深謀遠慮","深謀遠慮:深謀遠慮","/ʂən˥˥.mou˧˥.yan˨˩˦.ly˥˩/","an mo yam law","/ən/ /moʊ/ /yæm/ /lɔ/","Zahn Mop an lieh","/t͡saːn/ /moːp/ /aːn/ /liː/","chêne mont houx une lait","/ʃɛn/ /mo/ /u/ /yn/ /lɛ/","線 喪 兎 ハンド","/seɴ/ /mo/ /u/ /han.do/","哂 哞 鳶 濾","/ʂən˨˩˦/ /mou˥˥/ /yan˥˥/ /ly˥˩/","Deep 謀 Yuan 慮","an mo yam law","Tooth lent to MOP","Oak Mount Holly a milk","Line mourning rabbit hand","Few comments Moo 鳶 濾"
"ZH","指指點點","指指點點:指指點點","/tʂ˨˩˦.tʂ˨˩˦.tiɛn˨˩˦.tiɛn˨˩˦/","tea tea tea en tea en","/ti/ /ti/ /ti/ /ɛn/ /ti/ /ɛn/","Tisch Tisch Vieh n Tisch n","/tiːʃ/ /tiːʃ/ /fiː/ /n/ /tiːʃ/ /n/","teint teint t' aine tien aine","/tɛ/ /tɛ/ /t/ /ɛn/ /ti/ /ɛn/","手 手 里 ニ 里 ニ","/te/ /te/ /ɾi/ /ni/ /ɾi/ /ni/","匙 匙 丶 丶","/tʂ˧˥/ /tʂ˧˥/ /tiɛn˨˩˦/ /tiɛn˨˩˦/","Location location","tea tea tea en tea en","Table table cattle n table n","dyed complexion you Elder tien elder","Hand in hand d-RI-RI d","Spoons spoons,,"
"ZH","蕓薹屬","蕓薹屬:蕓薹屬","/yn˧˥.tai˧˥.ʂu˨˩˦/","ewe tie shoe","/yu/ /taɪ/ /ʃu/","in Tau Schuh","/iːn/ /taʊ/ /ʃuː/","une Thaï chou","/yn/ /tai/ /ʃu/","韻 田 胃 酢","/iɴ/ /ta/ /i/ /su/","云 檯 藷","/yn˧˥/ /tai˧˥/ /ʂu˨˩˦/","蕓 sedge belong","ewe tie shoe","in Tau shoe","a Thai cabbage","Rhyme Machida stomach vinegar","檯 Zhu"
"ZH","麟遊縣","麟遊縣:麟遊縣","/lin˧˥.iəu˧˥.ɕiɛn˥˩/","lean e ooh sea en","/lin/ /i/ /u/ /si/ /ɛn/","Linse Vieh n","/liːn.zə/ /fiː/ /n/","ligne riz houx chien aine","/linj/ /ʁi/ /u/ /ʃi/ /ɛn/","ジン 胃 兎 乳 ニ","/d͡ʑiɴ/ /i/ /u/ /t͡ɕi/ /ni/","林 郵 憲","/lin˧˥/ /iəu˧˥/ /ɕiɛn˥˩/","Unicorn game County","lean e ooh sea en","Lens stock n","line rice Holly dog elder","Jin stomach rabbit tits 4","Lin 郵 President honor"
