"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"EN","intensify","intensify:intensify","/ɪn.ˈtɛn.sə.ˌfaɪ/","intense suffice","/ɪn.ˈtɛns/ /sə.ˈfaɪs/","Intensität","/ɪn.tən.ziː.teːt/","antenne se fier","/a.ˈtɛn/ /sə.ˈfje/","運転 サー 差","/un.teɴ/ /saː/ /sa/","茵 蛋 森 筏","/in˥˥/ /tan˥˩/ /sən˥˥/ /fa˧˥/","intensify","intense suffice","Intensity","antenna rely","Driving Sir difference","Sum DOI egg raft"
"EN","spinnery","spinnery:spinnery","/ˈspɪ.nə.ɹi/","spinner","/ˈspɪ.nəɹ/","Spinne Vieh","/ʃpɪ.nə/ /fiː/","samedi","/sa.mə.ˈdi/","サー ニ 水","/saː/ /ni/ /mi/","耜 蓽 女 梨","/s˥˩/ /pi˥˩/ /ny˨˩˦/ /li˧˥/","spinnery","spinner","Spider cattle","Saturday","Sir (d) water","SI 蓽 women-PEAR"
"EN","mythological","mythological:mythological","/ˌmɪ.θə.ˈlɒd.ʒɪ.kəl/","method tickle","/ˈmɛ.θəd/ /ˈtɪ.kəl/","Mittelohren","/mɪ.tə.loː.ʀən/","mythologie colle","/mi.to.lo.ˈʒi/ /kɔl/","水 サー エッジ 巻","/mi/ /saː/ /ed.d͡ʑi/ /kaɴ/","蜜 拊 爛 茹 啃","/mi˥˩/ /fu˨˩˦/ /lan˥˩/ /ʐu˧˥/ /kən˨˩˦/","mythological","method tickle","Chilling","Mythology glue","Water Sir edge vol.","Honey fondle 爛 ru chews"
"EN","ordinarily","ordinarily:ordinarily","/ˌɔɹdn.ˈɛə.ɹə.li/","ordinance rally","/ˈɔɹd.nəns/ /ˈɹæ.li/","Orthopädie","/ɔɐt.hoː.pə.diː/","ordre ennemi","/ɔʁdʁ/ /ɛ.nə.ˈmi/","兎 土 絵 夜 ニ","/u/ /do/ /e/ /jo/ /ni/","鵡 雲 頁 茹 梨","/u˨˩˦/ /yn˧˥/ /iɛ˥˩/ /ʐu˧˥/ /li˧˥/","ordinarily","ordinance rally","Orthopaedics","enemy order","Rabbit sat night pictures (d)","鵡 a surname page Ros PEAR"
"EN","automate","automate:automate","/ˈɔ.tə.ˌmeɪt/","autumn mate","/ˈɔ.təm/ /meɪt/","Automat","/aʊ.toː.maːt/","automate","/o.to.ˈmat/","兎 手 目 手","/u/ /te/ /me/ /te/","誤 土 莓 匙","/u˥˩/ /tu˨˩˦/ /mei˧˥/ /tʂ˧˥/","automate","autumn mate","Machine","PLC","Rabbit eyes hands","誤 Berry spoons"
"EN","hollowware","hollowware:hollowware","/ˈhɒ.loʊ.ˌwɛəɹ/","hollow wear","/ˈhɒ.loʊ/ /wɛəɹ/","Honorar","/hoː.noː.ʀaːɐ/","volontaire","/vɔ.lo.ˈtɛʁ/","歯 夜 湾","/ha/ /jo/ /waɴ/","護 髏 爺 兒","/xu˥˩/ /lou˧˥/ /iɛ˧˥/ /ər˧˥/","hollowware","hollow wear","Fee","volunteer","Tooth night Bay.","Royal-o 髏 Ni, a State in the Zhou Dynasty"
"EN","klebsiella","klebsiella:klebsiella","/ˌklɛb.zi.ˈɛ.lə/","clumsy Ella","/ˈklʌm.zi/ /ˈɛ.lə/","Kleber Elle","/klɛ.bɐ/ /ɛ.lə/","club villa","/klœb/ /vi.ˈla/","木 ビー 乳 絵 夜","/ki/ /biː/ /t͡ɕi/ /e/ /jo/","鼓 獅 膝 臆 滷","/ku˨˩˦/ /ʂ˥˥/ /ɕi˥˥/ /i˥˩/ /lu˨˩˦/","klebsiella","clumsy Ella","Adhesive table","Club villa","Wood bee tits pictures at night","Drum 獅 knee subjective 滷"
"EN","decametric","decametric:decametric","/ˌdɛ.kə.ˈmɛ.tɹɪk/","decker metric","/ˈdɛ.kəɹ/ /ˈmɛ.tɹɪk/","Decke Metro","/dɛ.kə/ /mɛ.tʀoː/","domestique","/do.mɛ.ˈstik/","土 戸 水 手 木","/do/ /ko/ /mi/ /te/ /ki/","弟 閣 榪 子 鼓","/ti˥˩/ /kɤ˧˥/ /ma˥˩/ /ts˨˩˦/ /ku˨˩˦/","decametric","decker metric","Top metro","domestic","Soil wood door water hand","閣 Ma drums"
"EN","thyrotoxicosis","thyrotoxicosis:thyrotoxicosis","/ˌθaɪ.ɹoʊ.ˌtɒk.sɪ.ˈkoʊ.sɪs/","thyroid toxic hostess","/ˈθaɪ.ɹɔɪd/ /ˈtɒk.sɪk/ /ˈhoʊ.stɪs/","Zeitungskiosk","/t͡saɪ.tʊnks.kiː.ɔsk/","avocat conseil","/a.vo.ka.ko.ˈsɛj/","差 夜 手 木 サー 戸 線","/sa/ /jo/ /te/ /ki/ /saː/ /ko/ /seɴ/","腮 哞 土 色 垢 司 司","/sai˥˥/ /mou˥˥/ /tu˨˩˦/ /sɤ˥˩/ /kou˥˩/ /s˥˥/ /s˥˥/","thyrotoxicosis","thyroid toxic hostess","Newspaper kiosk","counsel","Difference between night hand tree Sir line.","Moo-soil-colored gills scale Division Division"
"EN","guitarist","guitarist:guitarist","/ɡɪ.ˈtɑ.ɹɪst/","guitar wrist","/ɡɪ.ˈtɑɹ/ /ɹɪst/","getätigt","/ɡə.teː.tɪkt/","guitare ouest","/ɡi.ˈtaʁ/ /wɛst/","夏 手 水 手","/ɡe/ /te/ /mi/ /te/","鼓 弟 獅 司","/ku˨˩˦/ /ti˥˩/ /ʂ˥˥/ /s˥˥/","guitarist","guitar wrist","made","Western guitar","Summer water hand","Drum brother 獅 Division"
"EN","disestablish","disestablish:disestablish","/ˌdɪ.sɪ.ˈstæ.blɪʃ/","desist blush","/dɪ.ˈzɪst/ /blʌʃ/","Disziplin","/dɪ.st͡sɪ.pliːn/","discipline","/di.si.ˈplin/","土 サー 手 ビー 死","/do/ /saː/ /te/ /biː/ /ʃi/","弟 司 耜 椅 陵","/ti˥˩/ /s˥˥/ /s˥˩/ /i˨˩˦/ /liŋ˧˥/","disestablish","desist blush","Discipline","discipline","Sat Sir hand bee death","Division Chair, SI Ling"
"EN","whirligig","whirligig:whirligig","/ˈʍɜɹ.lɪ.ˌɡɪɡ/","whirl gig","/ʍɜɹl/ /ɡɪɡ/","billigen","/bɪ.liː.ɡən/","Philippines","/fi.li.ˈpin/","線 水 銀","/seɴ/ /mi/ /ɡiɴ/","耜 獅 梨 獅 司","/s˥˩/ /ʂ˥˥/ /li˧˥/ /ʂ˥˥/ /s˥˥/","whirligig","whirl gig","cheap","Philippines","Mercury line","SI 獅 PEAR 獅 Division"
"EN","probability","probability:probability","/ˌpɹɒ.bə.ˈbɪ.lɪ.ti/","problem billet","/ˈpɹɒ.bləm/ /ˈbɪ.lɪt/","Probebelastung","/pʀoː.bə.bə.la.ʃtʊŋ/","publicité","/py.bli.si.ˈte/","ペン ビー ビー 水 手","/peɴ/ /biː/ /biː/ /mi/ /te/","菠 芭 鱷 滷 梯","/po˥˥/ /pa˥˥/ /ɤ˥˩/ /lu˨˩˦/ /ti˥˥/","probability","problem billet","Sample load","advertising","Pen bee bee water hand","Keep sorbet 鱷 滷 ladder"
"EN","incomputable","incomputable:incomputable","/ˌɪn.kəm.ˈpyu.tə.bəl/","income pupil","/ˈɪn.kʌm/ /ˈpyu.pəl/","interpretieren","/ɪn.tɛɐ.pʀə.tiː.ʀən/","incalculable","/ɛ.kal.ky.ˈlabl/","韻 還付 手 盆","/iɴ/ /kam.pu/ /te/ /boɴ/","茵 羹 豹 梯 盆","/in˥˥/ /kəŋ˥˥/ /pau˥˩/ /ti˥˥/ /pən˧˥/","incomputable","income pupil","interpret","incalculable","Rhyme refund hand basin","DOI soup Panther ladder"
