"srcLang","srcString","srcWords","srcPron","EN.words","EN.pron","DE.words","DE.pron","FR.words","FR.pron","JA.words","JA.pron","ZH.words","ZH.pron","srcGloss","EN.gloss","DE.gloss","FR.gloss","JA.gloss","ZH.gloss"
"JA","酢豚","酢豚:酢豚","/su.bu.ta/","sue boo tea","/su/ /bu/ /ti/","Schuh Buch Tag","/ʃuː/ /buːx/ /taːk/","sous boue temps","/su/ /bu/ /ta/","酢 分 田","/su/ /bu/ /ta/","酥 蹼 獺","/su˥˥/ /pu˨˩˦/ /ta˨˩˦/","Sweet and sour pork","sue boo tea","Shoe book day","under mud time","Minute rice vinegar","Crisp webs 獺"
"JA","一本歯","一本歯:一本歯","/ip.pom.ba/","eat palm bee","/it/ /pɑm/ /bi/","in Dom Bank","/iːn/ /doːm/ /baŋ/","if paume bas","/if/ /pom/ /ba/","一歩 水 ば","/ip.po/ /mi/ /ba/","椅 菠 拇 芭","/i˨˩˦/ /po˥˥/ /mu˨˩˦/ /pa˥˥/","One tooth.","eat palm bee","in DOM Bank","If Palm down","One step water should","Chair keep thumb Pattaya"
"JA","セム語派","セム語派:セム語派","/se.mu.ɡo.ha/","sea moo goo high","/si/ /mu/ /ɡu/ /haɪ/","Ski Mus roh Hang","/skiː/ /muːs/ /ʀoː/ /haŋ/","cent et mou goût chat","/s/ /e/ /mu/ /ɡu/ /ʃa/","背 六 語 歯","/se/ /mu/ /ɡo/ /ha/","色 拇 菠 哈","/sɤ˥˩/ /mu˨˩˦/ /po˥˥/ /xa˥˥/","Semitic languages","sea moo goo high","Ski MUS raw slope","cent and soft taste chat","Tall 6 English teeth","Thumb and keep"
"JA","虐め自殺","虐め自殺:虐め自殺","/i.d͡ʑi.me.d͡ʑi.sa.t͡su/","e bee ma key sea shoe","/i/ /bi/ /mɑ/ /ki/ /si/ /ʃu/","in Vieh Mehl Vieh da zu","/iːn/ /fiː/ /meːl/ /fiː/ /daː/ /t͡suː/","iris mer riz sang chou","/i.ˈʁi/ /me/ /ʁi/ /sa/ /ʃu/","胃 柱 目 柱 差 唾","/i/ /d͡ʑi/ /me/ /d͡ʑi/ /sa/ /t͡su/","椅 梯 媽 梯 灑 土","/i˨˩˦/ /ti˥˥/ /ma˥˥/ /ti˥˥/ /sa˨˩˦/ /tu˨˩˦/","Bullying and suicide","e bee ma key sea shoe","in cattle meal cattle there to","IRIS sea rice cabbage blood","Stomach column first column difference saliva","媽 Chair ladder staircase sprinkled soil"
"JA","ヒヨコマメ","ヒヨコマメ:ヒヨコマメ","/hi.jo.ko.ma.me/","he zoo key ma me","/hi/ /zu/ /ki/ /mɑ/ /mi/","Hit Job Kuh Mama","/hiːt/ /joːp/ /kuː/ /maː.maː/","sillon con mât mer","/si.ˈjo/ /ko/ /ma/ /me/","氷 夜 戸 ま 目","/hi/ /jo/ /ko/ /ma/ /me/","膝 膜 鼓 媽 媽","/ɕi˥˥/ /mo˧˥/ /ku˨˩˦/ /ma˥˥/ /ma˥˥/","Chickpeas","he zoo key ma me","Hit job cow Mama","furrow con mat sea","Ice night door up eyes","Knee ligament drum 媽 媽"
"JA","水洟","水洟:水洟","/mi.zu.ba.na/","me zoo bee knee","/mi/ /zu/ /bi/ /ni/","Mai Schuh Bank nah","/maːiː/ /ʃuː/ /baŋ/ /naː/","mer joue bas nid","/me/ /ʒu/ /ba/ /ni/","水 ず バナー","/mi/ /zu/ /ba.naː/","米 茹 芭 拿","/mi˨˩˦/ /ʐu˧˥/ /pa˥˥/ /na˧˥/","水洟","me zoo bee knee","May close shoe bench","sea plays low nest","Water without banner","Mi Ruba"
"JA","ふわふわ","ふわふわ:ふわふわ","/ɸu.wa.ɸu.wa/","shoe wee shoe wee","/ʃu/ /wi/ /ʃu/ /wi/","Schuh ja Schuh ja","/ʃuː/ /jaː/ /ʃuː/ /jaː/","fou oie chou oie","/fu/ /wa/ /ʃu/ /wa/","不和 不和","/ɸu.wa/ /ɸu.wa/","拊 媽 拊 媽","/fu˨˩˦/ /ma˥˥/ /fu˨˩˦/ /ma˥˥/","Fluffy","shoe wee shoe wee","Shoe shoe Yes Yes","crazy goose cabbage oie","Discord discord","Fondle 媽 fondle 媽"
"JA","受諾側","受諾側:受諾側","/d͡ʑu.da.ku.ɡa.wa/","zoo dah coo guy wee","/zu/ /dɑ/ /ku/ /ɡaɪ/ /wi/","Schuh da Kuh Gala","/ʃuː/ /daː/ /kuː/ /ɡaː.laː/","joue dent as cou gant oie","/ʒu/ /d/ /a/ /ku/ /ɡa/ /wa/","従 だ 区 が わ","/d͡ʑu/ /da/ /ku/ /ɡa/ /wa/","土 獺 鼓 鯊 灑","/tu˨˩˦/ /ta˨˩˦/ /ku˨˩˦/ /ʂa˥˥/ /sa˨˩˦/","Accept side","zoo dah coo guy wee","Shoe cow da Gala","cheek tooth as neck goose glove","Therefore, ward.","獺 drum shark sprinkled"
"JA","蒸発岩","蒸発岩:蒸発岩","/d͡ʑo.u.ha.t͡su.ɡaɴ/","zoo ooh he shoe guy","/zu/ /u/ /hi/ /ʃu/ /ɡaɪ/","wo Schuh Hang zu Gang","/voː/ /ʃuː/ /haŋ/ /t͡suː/ /ɡaŋ/","don houx chat sous gare","/do/ /u/ /ʃa/ /su/ /ɡaʁ/","女 兎 歯 唾 顔","/d͡ʑo/ /u/ /ha/ /t͡su/ /ɡaɴ/","菠 鵡 哈 土 染","/po˥˥/ /u˨˩˦/ /xa˥˥/ /tu˨˩˦/ /ʐan˨˩˦/","Evaporites","zoo ooh he shoe guy","where shoes hang gang","Don Holly cat under station","Rabbit teeth saliva facial","Keep 鵡 clay dyed"
"JA","弦楽器","弦楽器:弦楽器","/ɡeɴ.ɡak.ki/","gay geek key","/ɡeɪ/ /ɡik/ /ki/","Gang Gag Kuh","/ɡaŋ/ /ɡaːk/ /kuː/","gare gant qu' qui","/ɡaʁ/ /ɡa/ /k/ /ki/","元 楽器","/ɡeɴ/ /ɡak.ki/","給 缸 鼓","/kei˨˩˦/ /kaŋ˥˥/ /ku˨˩˦/","Stringed instruments","gay geek key","Gear gag cow","station glove than that","Original instrument","To cylinder drum"
