srcLang,tgtLang,srcString,tgtString,gloss,note
ES,EN,cántaro,can,pitcher
ES,EN,chalupa,loop,sailboat
ES,EN,fango,fang,mud
ES,EN,gusano,goose,worm
ES,EN,langosta,ghost,lobster
ES,EN,mapache,map,raccoon
ES,EN,nido,needle,nest
ES,EN,rábano,ribbon,radish
ES,EN,salton,salt,grasshopper
ES,EN,tesoro,Zorro,treasure
ES,EN,broma,broom,fun
ES,EN,cariño,car,kindness
ES,EN,cólera,collar,anger
ES,EN,desliz,daisy,fault
ES,EN,orden,oar,method
ES,EN,peligro,pail,chance
ES,EN,pena,pen,sadness
ES,EN,tiempo,tea,time
ES,EN,verdad,bear,truth
ES,EN,vida,bead,life
